Make,Model,Year,Color,Price,Horsepower,FuelEconomy,Trim
Ram,1500,2020,Red,25824,305,23,Tradesman
Ram,1500,2022,Orange,40811,395,22,Laramie
Hyundai,Elantra,2020,Red,16047,147,36,SE
Chevrolet,Corvette,2023,Black,56712,490,19,Stingray 1LT
Hyundai,Tucson,2023,Orange,26251,187,28,SEL
Hyundai,Tucson,2022,Red,22693,187,28,SEL
Subaru,Outback,2024,Blue,28008,182,28,Base
Subaru,Crosstrek,2022,Silver,23250,182,29,Sport
Tesla,Model Y,2023,Black,41817,384,122,Long Range
Tesla,Model Y,2025,Yellow,51437,456,111,Performance
Tesla,Model Y,2022,Midnight Blue,39472,456,111,Performance
Ford,F-150,2023,Red,53210,400,20,Lariat
Toyota,Prius,2024,Yellow,25456,194,57,LE
BMW,X5,2022,Orange,69869,523,19,M60i
Volkswagen,Jetta,2023,Black,16934,158,34,S
Nissan,Rogue,2022,Orange,24085,201,33,SV
BMW,X5,2023,Grey,76518,523,19,M60i
Honda,Pilot,2020,Midnight Blue,31639,285,20,TrailSport
BMW,X5,2021,Green,48534,375,25,sDrive40i
Nissan,Rogue,2020,Grey,27013,201,33,Platinum
Tesla,Model Y,2024,Yellow,49645,456,111,Performance
Ram,1500,2020,Black,26733,305,23,Tradesman
Ram,1500,2020,Silver,24213,305,23,Tradesman
Subaru,Crosstrek,2022,Burgundy,21159,182,29,Sport
Nissan,Altima,2024,Green,33570,248,29,SR VC-Turbo
Jeep,Wrangler,2021,Silver,66469,470,14,Rubicon 392
Ram,1500,2020,Pearl White,63425,702,12,TRX
Chevrolet,Tahoe,2024,Silver,53566,355,17,LS
Hyundai,Tucson,2024,Matte Black,23554,187,28,SE
Volkswagen,Jetta,2022,Grey,15253,158,34,S
Jeep,Grand Cherokee,2024,Orange,58866,293,22,Summit
Kia,K5,2023,White,28957,290,27,GT
Jeep,Wrangler,2024,Silver,83882,470,14,Rubicon 392
Honda,Pilot,2023,White,41950,285,20,TrailSport
Nissan,Altima,2021,Orange,17070,188,32,S
Nissan,Altima,2021,Orange,18565,188,32,S
Subaru,Outback,2022,Charcoal,24142,182,28,Base
Ram,1500,2024,Black,51577,395,22,Laramie
Hyundai,Elantra,2024,Silver,20852,147,36,SE
Mercedes-Benz,GLE,2024,Pearl White,58793,255,24,GLE 350
Nissan,Rogue,2022,Red,20611,201,33,S
Mercedes-Benz,GLE,2022,Pearl White,66124,429,20,AMG GLE 53
Tesla,Model 3,2024,Yellow,43470,393,130,Long Range
